"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901875","GO:1901875","positive regulation of post-translational protein modification","41/3320","133/18860",0.308270676691729,1.75120028988133,4.01837373916033,0.000133594033583836,0.00596102428684663,0.00526780315291775,"ARRDC3/BIRC8/CDC14B/CDKN2A/CHFR/CRY1/DCUN1D2/DCUN1D4/DDX3X/DNAJA3/EGR1/FZR1/HDAC4/NOD2/NPM1/NSMCE3/PAXIP1/PHF23/PIAS1/PIAS4/PINK1/PRKN/PTTG1IP/RASSF1/RASSF5/RBX1/RIPK2/RNF111/SAE1/SENP2/SPRTN/SPSB4/STUB1/TBC1D7/TOLLIP/UBA2/UBB/UBE2S/UBE2V1/UBE3A/UBQLN1",41
"GO:0018205","GO:0018205","peptidyl-lysine modification","40/3320","129/18860",0.310077519379845,1.76146446250117,4.0111312942128,0.000139371317006572,0.00617374536855924,0.00545578641401776,"ANTKMT/ATPSCKMT/BAG6/CDKN2A/DIP2A/EEF1AKMT1/EGR1/EHMT1/EHMT2/ESCO1/HDAC4/HDAC7/HINT1/KAT7/LIPT2/NNAT/NSMCE2/NSMCE3/NSMCE4A/PIAS1/PIAS4/PLOD3/PML/RANBP2/RELA/RNF212/SAE1/SENP1/SENP2/SENP3/SENP7/SETD6/SIRT5/SMC5/SMC6/TOLLIP/TRIM28/UBA2/UBE2I/UHRF2",40
"GO:0016241","GO:0016241","regulation of macroautophagy","56/3320","199/18860",0.281407035175879,1.59859538657141,3.923695640933,0.000148668167254049,0.00653819069369784,0.00577784955961968,"ADRB2/AKT1/ATM/ATP13A2/ATP6V0D1/ATP6V0E2/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/BAG3/BNIP3/BNIP3L/CAPNS1/CDC37/CDK5R1/CSNK2A2/DNM1L/EHMT2/EIF2AK1/EXOC7/EXOC8/FBXO7/FEZ1/LYPLA1/MOAP1/NOD2/NRBP2/OMA1/PHF23/PINK1/PRKN/RAB3GAP2/RBX1/RIPK2/RNF41/RUBCN/SLC25A4/SNX32/SNX4/SNX6/SREBF1/SREBF2/STUB1/SUPT5H/TBC1D25/TBK1/TIGAR/TOMM7/TRIM32/UBQLN1/USP36/VPS13C/VPS26B/VPS35/WAC",56
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","42/3320","138/18860",0.304347826086957,1.7289156626506,3.97231399075085,0.000152880696090947,0.006675426394314,0.0058991258070582,"AKT1/ANAPC11/ANAPC7/AURKA/BRD4/CCNB1/CCND1/CCND3/CCNE2/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CPSF3/DDX3X/DTL/DUSP3/EIF4EBP1/FBXO5/FOXA1/HSF1/MAD1L1/MEIS2/MEPCE/NEUROG1/NSMCE2/PAFAH1B1/PLRG1/PPP1R10/PRKCA/RCC2/SKA1/SKA3/SMARCD3/STAT5B/TFDP1/TMOD3/UBE2E2/VPS4B/WNT10B",42
"GO:0022618","GO:0022618","protein-RNA complex assembly","63/3320","231/18860",0.272727272727273,1.54928806133625,3.88252484277206,0.000159499992391809,0.00690685984607682,0.00610364533394169,"ADAR/AGO1/ATM/BOP1/CELF4/DDX39B/DDX42/DHX9/DICER1/DKC1/EIF2D/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3K/EIF4H/FASTKD2/GEMIN2/GEMIN4/HSP90AA1/HTATSF1/LSM2/LSM4/LUC7L/MTG1/PRKDC/PRPF6/PTBP2/PTGES3/PWP2/RBMX2/RNU6ATAC/RPL10L/RPL13A/RPL5/RPS15/RPSA2/RRP7A/RRP7BP/RSRP1/SART1/SCAF11/SF1/SF3A2/SF3B1/SNRPD2/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF6/SRSF9/STRAP/TAF12-DT/TSSC4/TXNL4A/U2AF2/USP39/YTHDC1/ZRSR2",63
"GO:0071763","GO:0071763","nuclear membrane organization","20/3320","50/18860",0.4,2.27228915662651,4.16369870194575,0.000160440716202014,0.00690685984607682,0.00610364533394169,"BROX/CDK1/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CTDNEP1/DCTN1/EMD/NEK6/PAFAH1B1/PRKCA/RCC1/SPAST/TMEM43/TOR1B/UBE2I/VPS4B",20
"GO:0099173","GO:0099173","postsynapse organization","66/3320","245/18860",0.269387755102041,1.53031718711581,3.86180276564469,0.000166774413686558,0.00712931462144004,0.00630023033521835,"ABI2/ACTB/ACTG1/ADAM10/AKT1/ARF1/ARF4/ARHGAP12/ARHGAP39/ASIC1/CAMK2B/CAPRIN1/CARMIL3/CBLN1/CC2D1A/CDC42/CDK5R1/CFL1/CHMP2B/CHRDL1/CNKSR2/CNTNAP1/CRIPT/CRK/CRKL/CRMP1/CUX2/DIP2A/DISC1/DLG4/DNAJA3/EPHB2/EPHB3/ETV5/FARP1/FRRS1L/GDNF/IGF1R/KIF1A/LRFN2/LRFN4/LRP8/MAPRE3/NAE1/NCKIPSD/NF1/NRCAM/NRXN2/PAFAH1B1/POTEE/POTEF/PUM2/RAC1/SENP1/SIPA1L1/SPTBN2/SRCIN1/SSH1/STAU2/TANC1/TANC2/TMEM108/UBE2M/VPS35/WNT7A/ZDHHC12",66
"GO:0045943","GO:0045943","positive regulation of transcription by RNA polymerase I","16/3320","36/18860",0.444444444444444,2.52476572958501,4.23254203978717,0.000168162213494582,0.00713871952147487,0.00630854151794003,"DDX11/DEK/DHX33/ERCC6/HEATR1/LYAR/MYBBP1A/MYO1C/NCL/PWP1/SF3B1/SIRT7/SMARCA4/SMARCA5/SMARCB1/WDR43",16
"GO:0044818","GO:0044818","mitotic G2/M transition checkpoint","21/3320","54/18860",0.388888888888889,2.20917001338688,4.11281237234934,0.000177945894721936,0.00750195347886342,0.00662953416851525,"ABRAXAS1/ATM/BABAM2/BRSK1/CDC14B/CDC6/CDK1/CHFR/DTL/FOXO4/FZR1/INTS3/MRNIP/NABP2/NAE1/PABIR1/RBBP8/TAOK1/TAOK2/TRIM39/UIMC1",21
"GO:0051236","GO:0051236","establishment of RNA localization","49/3320","170/18860",0.288235294117647,1.63738483345145,3.85855237932557,0.000200720251128569,0.00840412941882839,0.00742679400715082,"ALKBH5/ALYREF/ATM/ATXN2/DDX25/DDX39A/DDX39B/DHX9/FMR1/FXR2/FYTTD1/G3BP2/GLE1/HNRNPA1/HSF1/IWS1/KHDRBS1/KHSRP/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SLBP/SMG6/SMG7/SRSF1/THOC3/THOC6/TOMM20/UPF1/UPF2/XPO5/YBX1/YTHDC1/ZC3H3/ZFP36L1",49
